"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","DBG_TrbRaw"
"TIMESTAMP","RECORD","AirTempC","RHumidity","P_mb","SolarRad","Precip_mm"
"TS","RN","","","","",""
"","","Smp","Smp","Smp","Smp","Smp"
"2017-05-25 13:19:54",127171,13.82,65.67,950.7711,30.32,0
"2017-05-25 13:19:55",127172,13.82,65.6,950.4441,30.32,0
"2017-05-25 13:19:56",127173,13.78,65.49,950.7711,30.36,0
"2017-05-25 13:19:57",127174,13.82,65.47,950.4441,30.36,0
"2017-05-25 13:19:58",127175,13.85,65.33,950.4441,30.39,0
"2017-05-25 13:19:59",127176,13.82,65.21,950.4441,30.39,0
"2017-05-25 13:20:00",127177,13.82,65.11,950.6077,30.39,0
"2017-05-25 13:20:01",127178,13.82,65.11,950.7711,30.39,0
"2017-05-25 13:20:02",127179,13.82,65.08,950.7711,30.43,0
"2017-05-25 13:20:03",127180,13.82,65.18,950.7711,30.43,0
"2017-05-25 13:20:04",127181,13.75,65.26,950.7711,30.47,0
"2017-05-25 13:20:05",127182,13.78,65.37,950.4441,30.47,0
"2017-05-25 13:20:06",127183,13.82,65.47,950.4441,30.43,0
"2017-05-25 13:20:07",127184,13.82,65.6,950.4441,30.43,0
"2017-05-25 13:20:08",127185,13.85,65.81,950.9346,30.47,0
"2017-05-25 13:20:09",127186,13.82,66,950.7711,30.51,0
"2017-05-25 13:20:10",127187,13.82,65.95,950.4441,30.55,0
"2017-05-25 13:20:11",127188,13.78,65.84,950.7711,30.47,0
"2017-05-25 13:20:12",127189,13.78,65.72,950.4441,30.47,0
"2017-05-25 13:20:13",127190,13.82,65.69,950.4441,30.55,0
"2017-05-25 13:20:14",127191,13.85,65.62,950.4441,30.55,0
"2017-05-25 13:20:15",127192,13.85,65.54,950.7711,30.55,0
"2017-05-25 13:20:16",127193,13.82,65.43,950.6077,30.55,0
"2017-05-25 13:20:17",127194,13.78,65.35,950.7711,30.51,0
"2017-05-25 13:20:18",127195,13.82,65.4,950.7711,30.47,0
"2017-05-25 13:20:19",127196,13.82,65.38,950.7711,30.47,0
"2017-05-25 13:20:20",127197,13.75,65.52,950.7711,30.51,0
"2017-05-25 13:20:21",127198,13.78,65.62,950.4441,30.51,0
"2017-05-25 13:20:22",127199,13.75,65.83,950.2806,30.47,0
"2017-05-25 13:20:23",127200,13.75,66.12,950.4441,30.51,0
"2017-05-25 13:20:24",127201,13.82,66.35,950.4441,30.47,0
"2017-05-25 13:20:25",127202,13.82,66.54,950.7711,30.47,0
"2017-05-25 13:20:26",127203,13.78,66.78,950.7711,30.47,0
"2017-05-25 13:20:27",127204,13.75,66.75,950.7711,30.47,0
"2017-05-25 13:20:28",127205,13.82,66.9,950.7711,30.47,0
"2017-05-25 13:20:29",127206,13.78,67.17,950.6077,30.43,0
"2017-05-25 13:20:30",127207,13.85,67.44,950.6077,30.39,0
"2017-05-25 13:20:31",127208,13.82,67.68,950.6077,30.39,0
"2017-05-25 13:20:32",127209,13.82,67.68,950.4441,30.39,0
"2017-05-25 13:20:33",127210,13.78,67.68,950.7711,30.39,0
"2017-05-25 13:20:34",127211,13.78,67.84,950.7711,30.32,0
"2017-05-25 13:20:35",127212,13.85,68.07,950.4441,30.32,0
"2017-05-25 13:20:36",127213,13.82,68.09,950.4441,30.32,0
"2017-05-25 13:20:37",127214,13.82,68.14,950.6077,30.32,0
"2017-05-25 13:20:38",127215,13.75,68.06,950.4441,30.28,0
"2017-05-25 13:20:39",127216,13.82,67.72,950.4441,30.24,0
"2017-05-25 13:20:40",127217,13.82,67.26,950.7711,30.24,0
"2017-05-25 13:20:41",127218,13.78,66.83,950.6077,30.24,0
"2017-05-25 13:20:42",127219,13.82,66.35,950.7711,30.16,0
"2017-05-25 13:20:43",127220,13.75,65.95,950.7711,30.16,0
"2017-05-25 13:20:44",127221,13.75,65.89,950.764,30.16,0
"2017-05-25 13:20:45",127222,13.75,65.54,950.437,30.08,0
"2017-05-25 13:20:46",127223,13.75,65.23,950.437,30.08,0
"2017-05-25 13:20:47",127224,13.75,64.96,950.437,30.08,0
"2017-05-25 13:20:48",127225,13.75,64.67,950.437,30.08,0
"2017-05-25 13:20:49",127226,13.75,64.48,950.6005,30.04,0
"2017-05-25 13:20:50",127227,13.75,64.36,950.764,30,0
"2017-05-25 13:20:51",127228,13.75,64.17,950.6005,30,0
"2017-05-25 13:20:52",127229,13.75,64.16,950.764,30,0
"2017-05-25 13:20:53",127230,13.82,64.1,950.764,29.96,0
"2017-05-25 13:20:54",127231,13.78,64.04,950.6005,29.92,0
"2017-05-25 13:20:55",127232,13.82,63.97,950.764,29.88,0
"2017-05-25 13:20:56",127233,13.82,64.04,950.764,29.84,0
"2017-05-25 13:20:57",127234,13.82,64.22,950.437,29.84,0
"2017-05-25 13:20:58",127235,13.82,64.24,950.764,29.84,0
"2017-05-25 13:20:59",127236,13.85,64.45,950.6005,29.84,0
"2017-05-25 13:21:00",127237,13.85,64.75,950.764,29.8,0
"2017-05-25 13:21:01",127238,13.82,64.7,950.764,29.76,0
"2017-05-25 13:21:02",127239,13.82,64.96,950.764,29.76,0
"2017-05-25 13:21:03",127240,13.82,65.18,950.6005,29.76,0
"2017-05-25 13:21:04",127241,13.82,65.3,950.764,29.68,0
"2017-05-25 13:21:05",127242,13.85,65.3,950.6005,29.68,0
"2017-05-25 13:21:06",127243,13.85,65.31,950.764,29.68,0
"2017-05-25 13:21:07",127244,13.89,65.38,950.6005,29.64,0
"2017-05-25 13:21:08",127245,13.85,65.37,950.6005,29.6,0
"2017-05-25 13:21:09",127246,13.82,65.31,951.0911,29.68,0
"2017-05-25 13:21:10",127247,13.82,65.28,950.437,29.68,0
"2017-05-25 13:21:11",127248,13.82,65.18,950.764,29.6,0
"2017-05-25 13:21:12",127249,13.82,65.18,950.764,29.57,0
"2017-05-25 13:21:13",127250,13.82,65.21,950.437,29.53,0
"2017-05-25 13:21:14",127251,13.85,65.21,950.6005,29.53,0
"2017-05-25 13:21:15",127252,13.85,65.21,950.6005,29.53,0
"2017-05-25 13:21:16",127253,13.82,65.19,950.437,29.53,0
"2017-05-25 13:21:17",127254,13.85,65.3,950.764,29.53,0
"2017-05-25 13:21:18",127255,13.85,65.3,950.764,29.53,0
"2017-05-25 13:21:19",127256,13.82,65.43,950.764,29.45,0
"2017-05-25 13:21:20",127257,13.82,65.42,950.437,29.53,0
"2017-05-25 13:21:21",127258,13.82,65.64,950.437,29.53,0
"2017-05-25 13:21:22",127259,13.78,65.86,950.437,29.45,0
"2017-05-25 13:21:23",127260,13.85,66.13,950.437,29.49,0
"2017-05-25 13:21:24",127261,13.89,66.32,950.437,29.45,0
"2017-05-25 13:21:25",127262,13.82,66.52,950.764,29.37,0
"2017-05-25 13:21:26",127263,13.89,66.52,950.764,29.37,0
"2017-05-25 13:21:27",127264,13.82,66.52,950.764,29.37,0
"2017-05-25 13:21:28",127265,13.82,66.23,950.437,29.37,0
"2017-05-25 13:21:29",127266,13.85,65.94,950.2736,29.45,0
"2017-05-25 13:21:30",127267,13.78,65.67,950.764,29.45,0
"2017-05-25 13:21:31",127268,13.82,65.55,950.437,29.37,0
"2017-05-25 13:21:32",127269,13.85,65.47,950.764,29.37,0
"2017-05-25 13:21:33",127270,13.82,65.48,950.6005,29.37,0
"2017-05-25 13:21:34",127271,13.85,65.47,950.764,29.37,0
"2017-05-25 13:21:35",127272,13.82,65.42,950.2736,29.29,0
"2017-05-25 13:21:36",127273,13.85,65.3,950.764,29.29,0
"2017-05-25 13:21:37",127274,13.82,65.13,950.6005,29.29,0
"2017-05-25 13:21:38",127275,13.82,64.99,950.437,29.29,0
"2017-05-25 13:21:39",127276,13.89,64.94,950.437,29.29,0
"2017-05-25 13:21:40",127277,13.82,64.84,950.437,29.21,0
"2017-05-25 13:21:41",127278,13.82,64.75,950.6005,29.29,0
"2017-05-25 13:21:42",127279,13.82,64.72,950.764,29.29,0
"2017-05-25 13:21:43",127280,13.82,64.72,950.764,29.29,0
"2017-05-25 13:21:44",127281,13.82,64.67,950.764,29.29,0
"2017-05-25 13:21:45",127282,13.78,64.65,950.437,29.21,0
"2017-05-25 13:21:46",127283,13.82,64.7,950.2736,29.29,0
"2017-05-25 13:21:47",127284,13.82,64.87,950.437,29.21,0
"2017-05-25 13:21:48",127285,13.85,65.04,950.437,29.21,0
"2017-05-25 13:21:49",127286,13.82,65.21,950.437,29.13,0
"2017-05-25 13:21:50",127287,13.82,65.37,950.6005,29.13,0
