"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","RainData"
"TIMESTAMP","RECORD","Rain_mV_new","Rain_mm_new","Rain_mm_Tot"
"TS","RN","","",""
"","","Smp","Smp","Tot"
"2017-05-23 16:30:00",0,0,0,0
"2017-05-23 16:45:00",1,4.112,0.041,0
"2017-05-23 17:00:00",2,4.112,0.041,0
"2017-05-23 17:15:00",3,4.112,0.041,0
"2017-05-23 17:30:00",4,4.112,0.041,0
"2017-05-23 17:45:00",5,4.112,0.041,0
"2017-05-23 18:00:00",6,4.112,0.041,0
"2017-05-23 18:15:00",7,4.112,0.041,0
"2017-05-23 18:30:00",8,4.112,0.041,0
"2017-05-23 18:45:00",9,4.112,0.041,0
"2017-05-23 19:00:00",10,4.112,0.041,0
"2017-05-23 19:15:00",11,5.483,0.055,0
"2017-05-23 19:30:00",12,4.112,0.041,0
"2017-05-23 19:45:00",13,5.483,0.055,0
"2017-05-23 20:00:00",14,5.483,0.055,0
"2017-05-23 20:15:00",15,4.112,0.041,0
"2017-05-23 20:30:00",16,4.112,0.041,0
"2017-05-23 20:45:00",17,4.112,0.041,0
"2017-05-23 21:00:00",18,4.113,0.041,0
"2017-05-23 21:15:00",19,4.113,0.041,0
"2017-05-23 21:30:00",20,4.114,0.041,0
"2017-05-23 21:45:00",21,4.114,0.041,0
"2017-05-23 22:00:00",22,4.114,0.041,0
"2017-05-23 22:15:00",23,4.115,0.041,0
"2017-05-23 22:30:00",24,4.115,0.041,0
"2017-05-23 22:45:00",25,4.115,0.041,0
"2017-05-23 23:00:00",26,4.115,0.041,0
"2017-05-23 23:15:00",27,4.115,0.041,0
"2017-05-23 23:30:00",28,4.115,0.041,0
"2017-05-23 23:45:00",29,4.115,0.041,0
"2017-05-24 00:00:00",30,4.115,0.041,0
"2017-05-24 00:15:00",31,4.115,0.041,0
"2017-05-24 00:30:00",32,4.115,0.041,0
"2017-05-24 00:45:00",33,4.115,0.041,0
"2017-05-24 01:00:00",34,4.115,0.041,0
"2017-05-24 01:15:00",35,4.115,0.041,0
"2017-05-24 01:30:00",36,4.115,0.041,0
"2017-05-24 01:45:00",37,4.115,0.041,0
"2017-05-24 02:00:00",38,4.115,0.041,0
"2017-05-24 02:15:00",39,4.115,0.041,0
"2017-05-24 02:30:00",40,4.115,0.041,0
"2017-05-24 02:45:00",41,4.115,0.041,0
"2017-05-24 03:00:00",42,4.115,0.041,0
"2017-05-24 03:15:00",43,4.115,0.041,0
"2017-05-24 03:30:00",44,4.115,0.041,0
"2017-05-24 03:45:00",45,4.115,0.041,0
"2017-05-24 04:00:00",46,4.115,0.041,0
"2017-05-24 04:15:00",47,4.115,0.041,0
"2017-05-24 04:30:00",48,4.115,0.041,0
"2017-05-24 04:45:00",49,4.115,0.041,0
"2017-05-24 05:00:00",50,4.115,0.041,0
"2017-05-24 05:15:00",51,4.115,0.041,0
"2017-05-24 05:30:00",52,4.115,0.041,0
"2017-05-24 05:45:00",53,4.115,0.041,0
"2017-05-24 06:00:00",54,4.115,0.041,0
"2017-05-24 06:15:00",55,4.115,0.041,0
"2017-05-24 06:30:00",56,4.115,0.041,0
"2017-05-24 06:45:00",57,4.115,0.041,0
"2017-05-24 07:00:00",58,4.115,0.041,0
"2017-05-24 07:15:00",59,4.115,0.041,0
"2017-05-24 07:30:00",60,4.115,0.041,0
"2017-05-24 07:45:00",61,4.115,0.041,0
"2017-05-24 08:00:00",62,4.115,0.041,0
"2017-05-24 08:15:00",63,4.115,0.041,0
"2017-05-24 08:30:00",64,4.115,0.041,0
"2017-05-24 08:45:00",65,4.115,0.041,0
"2017-05-24 09:00:00",66,4.115,0.041,0
"2017-05-24 09:15:00",67,4.115,0.041,0
"2017-05-24 09:30:00",68,4.115,0.041,0
"2017-05-24 09:45:00",69,4.115,0.041,0
"2017-05-24 10:00:00",70,4.115,0.041,0
"2017-05-24 10:15:00",71,4.115,0.041,0
"2017-05-24 10:30:00",72,4.115,0.041,0
"2017-05-24 10:45:00",73,4.115,0.041,0
"2017-05-24 11:00:00",74,4.113,0.041,0
"2017-05-24 11:15:00",75,4.113,0.041,0
"2017-05-24 11:30:00",76,4.113,0.041,0
"2017-05-24 11:45:00",77,4.112,0.041,0
"2017-05-24 12:00:00",78,4.112,0.041,0
"2017-05-24 12:15:00",79,4.112,0.041,0
"2017-05-24 12:30:00",80,5.483,0.055,0
"2017-05-24 12:45:00",81,5.483,0.055,0
"2017-05-24 13:00:00",82,4.112,0.041,0
"2017-05-24 13:15:00",83,4.112,0.041,0
"2017-05-24 13:30:00",84,5.483,0.055,0
"2017-05-24 13:45:00",85,4.112,0.041,0
"2017-05-24 14:00:00",86,5.483,0.055,0
"2017-05-24 14:15:00",87,4.112,0.041,0
"2017-05-24 14:30:00",88,5.483,0.055,0
"2017-05-24 14:45:00",89,5.483,0.055,0
"2017-05-24 15:00:00",90,5.483,0.055,0
"2017-05-24 15:15:00",91,6.854,0.069,0
"2017-05-24 15:30:00",92,5.483,0.055,0
"2017-05-24 15:45:00",93,196,1.96,1.809
"2017-05-24 16:00:00",94,331.7,3.317,1.714
"2017-05-24 16:15:00",95,331.7,3.317,0
"2017-05-24 16:30:00",96,330.4,3.304,0
"2017-05-24 16:45:00",97,330.4,3.304,0
"2017-05-24 17:00:00",98,329,3.29,0
"2017-05-24 17:15:00",99,327.6,3.276,0
"2017-05-24 17:30:00",100,327.6,3.276,0
"2017-05-24 17:45:00",101,327.6,3.276,0
"2017-05-24 18:00:00",102,326.3,3.263,0
"2017-05-24 18:15:00",103,326.3,3.263,0
"2017-05-24 18:30:00",104,326.3,3.263,0
"2017-05-24 18:45:00",105,326.3,3.263,0
"2017-05-24 19:00:00",106,326.3,3.263,0
"2017-05-24 19:15:00",107,326.3,3.263,0
"2017-05-24 19:30:00",108,326.3,3.263,0
"2017-05-24 19:45:00",109,326.3,3.263,0
"2017-05-24 20:00:00",110,327.6,3.276,0
"2017-05-24 20:15:00",111,327.6,3.276,0
"2017-05-24 20:30:00",112,327.7,3.277,0
"2017-05-24 20:45:00",113,327.7,3.277,0
"2017-05-24 21:00:00",114,329.1,3.291,0
"2017-05-24 21:15:00",115,329.1,3.291,0
"2017-05-24 21:30:00",116,329.1,3.291,0
"2017-05-24 21:45:00",117,330.5,3.305,0
"2017-05-24 22:00:00",118,330.6,3.306,0
"2017-05-24 22:15:00",119,330.6,3.306,0
"2017-05-24 22:30:00",120,330.6,3.306,0
"2017-05-24 22:45:00",121,331.9,3.319,0
"2017-05-24 23:00:00",122,331.9,3.319,0
"2017-05-24 23:15:00",123,331.9,3.319,0
"2017-05-24 23:30:00",124,332,3.32,0
"2017-05-24 23:45:00",125,333.3,3.333,0
"2017-05-25 00:00:00",126,333.3,3.333,0
"2017-05-25 07:00:00",127,0,0,0
"2017-05-25 07:15:00",128,330.6,3.306,3.32
"2017-05-25 07:30:00",129,0,0,0
"2017-05-25 07:45:00",130,323.7,3.237,3.265
"2017-05-25 08:00:00",131,326.5,3.265,0
"2017-05-25 08:15:00",132,325.1,3.251,0
"2017-05-25 08:30:00",133,325.1,3.251,0
"2017-05-25 08:45:00",134,323.7,3.237,0
"2017-05-25 09:00:00",135,325.1,3.251,0
"2017-05-25 09:15:00",136,321,3.21,0
"2017-05-25 09:30:00",137,327.8,3.278,0
"2017-05-25 09:45:00",138,325.1,3.251,0
"2017-05-25 10:00:00",139,318.2,3.182,0
"2017-05-25 10:15:00",140,318.2,3.182,0
"2017-05-25 10:30:00",141,319.6,3.196,0
"2017-05-25 10:45:00",142,319.6,3.196,0
"2017-05-25 11:00:00",143,316.8,3.168,0
"2017-05-25 11:15:00",144,325.1,3.251,0
"2017-05-25 11:30:00",145,318.2,3.182,0
"2017-05-25 11:45:00",146,316.9,3.169,0
"2017-05-25 12:00:00",147,316.9,3.169,0
"2017-05-25 12:15:00",148,318.2,3.182,0
"2017-05-25 12:30:00",149,322.4,3.224,0
"2017-05-25 12:45:00",150,327.8,3.278,0
"2017-05-25 13:00:00",151,327.8,3.278,0
"2017-05-25 13:15:00",152,327.8,3.278,0
"2017-05-25 13:30:00",153,327.8,3.278,0
"2017-05-25 13:45:00",154,327.8,3.278,0
"2017-05-25 14:00:00",155,336.1,3.361,0
"2017-05-25 14:15:00",156,404.6,4.046,0
"2017-05-25 14:30:00",157,465,4.65,1.001
"2017-05-25 14:45:00",158,544.5,5.445,1.028
"2017-05-25 15:00:00",159,614.5,6.145,1.002
"2017-05-25 15:15:00",160,637.9,6.379,0
"2017-05-25 15:30:00",161,651.6,6.516,0
"2017-05-25 15:45:00",162,699.6,6.996,0
"2017-05-25 16:00:00",163,750.3,7.503,1.001
"2017-05-25 16:15:00",164,781.9,7.819,0
"2017-05-25 16:30:00",165,787.4,7.874,0
"2017-05-25 16:45:00",166,813,8.13,0
"2017-05-25 17:00:00",167,827,8.27,1.002
"2017-05-25 17:15:00",168,857,8.57,0
"2017-05-25 17:30:00",169,882,8.82,0
"2017-05-25 17:45:00",170,897,8.97,0
"2017-05-25 18:00:00",171,897,8.97,0
"2017-05-25 18:15:00",172,897,8.97,0
"2017-05-25 18:30:00",173,897,8.97,0
"2017-05-25 18:45:00",174,897,8.97,0
"2017-05-25 19:00:00",175,897,8.97,0
"2017-05-25 19:15:00",176,897,8.97,0
"2017-05-25 19:30:00",177,897,8.97,0
"2017-05-25 19:45:00",178,897,8.97,0
"2017-05-25 20:00:00",179,897,8.97,0
"2017-05-25 20:15:00",180,897,8.97,0
"2017-05-25 20:30:00",181,897,8.97,0
"2017-05-25 20:45:00",182,897,8.97,0
"2017-05-25 21:00:00",183,898,8.98,0
"2017-05-25 21:15:00",184,898,8.98,0
"2017-05-25 21:30:00",185,898,8.98,0
"2017-05-25 21:45:00",186,903,9.03,0
"2017-05-25 22:00:00",187,911,9.11,0
"2017-05-25 22:15:00",188,916,9.16,1.001
"2017-05-25 22:30:00",189,916,9.16,0
"2017-05-25 22:45:00",190,916,9.16,0
"2017-05-25 23:00:00",191,918,9.18,0
"2017-05-25 23:15:00",192,918,9.18,0
"2017-05-25 23:30:00",193,918,9.18,0
"2017-05-25 23:45:00",194,918,9.18,0
"2017-05-26 00:00:00",195,918,9.18,0
"2017-05-26 00:15:00",196,918,9.18,0
"2017-05-26 00:30:00",197,918,9.18,0
"2017-05-26 00:45:00",198,918,9.18,0
"2017-05-26 01:00:00",199,918,9.18,0
"2017-05-26 01:15:00",200,918,9.18,0
"2017-05-26 01:30:00",201,918,9.18,0
"2017-05-26 01:45:00",202,918,9.18,0
"2017-05-26 02:00:00",203,918,9.18,0
"2017-05-26 02:15:00",204,919,9.19,0
"2017-05-26 02:30:00",205,919,9.19,0
"2017-05-26 02:45:00",206,919,9.19,0
"2017-05-26 03:00:00",207,919,9.19,0
"2017-05-26 03:15:00",208,919,9.19,0
"2017-05-26 03:30:00",209,919,9.19,0
"2017-05-26 03:45:00",210,919,9.19,0
"2017-05-26 04:00:00",211,919,9.19,0
"2017-05-26 04:15:00",212,919,9.19,0
"2017-05-26 04:30:00",213,919,9.19,0
"2017-05-26 04:45:00",214,919,9.19,0
"2017-05-26 05:00:00",215,919,9.19,0
"2017-05-26 05:15:00",216,919,9.19,0
"2017-05-26 05:30:00",217,919,9.19,0
"2017-05-26 05:45:00",218,919,9.19,0
"2017-05-26 06:00:00",219,919,9.19,0
"2017-05-26 06:15:00",220,919,9.19,0
"2017-05-26 06:30:00",221,919,9.19,0
"2017-05-26 06:45:00",222,919,9.19,0
"2017-05-26 07:00:00",223,919,9.19,0
"2017-05-26 07:15:00",224,920,9.2,0
"2017-05-26 07:30:00",225,920,9.2,0
"2017-05-26 07:45:00",226,920,9.2,0
"2017-05-26 08:00:00",227,920,9.2,0
"2017-05-26 08:15:00",228,920,9.2,0
"2017-05-26 08:30:00",229,919,9.19,0
"2017-05-26 08:45:00",230,919,9.19,0
"2017-05-26 09:00:00",231,942,9.42,0
"2017-05-26 09:15:00",232,944,9.44,0
"2017-05-26 09:30:00",233,944,9.44,0
"2017-05-26 09:45:00",234,952,9.52,0
"2017-05-26 10:00:00",235,963,9.63,0
"2017-05-26 10:15:00",236,972,9.72,0
"2017-05-26 10:30:00",237,973,9.73,0
"2017-05-26 10:45:00",238,973,9.73,0
"2017-05-26 11:00:00",239,973,9.73,0
"2017-05-26 11:15:00",240,973,9.73,0
"2017-05-26 11:30:00",241,973,9.73,0
"2017-05-26 11:45:00",242,975,9.75,0
"2017-05-26 12:00:00",243,986,9.86,0
"2017-05-26 12:15:00",244,1026,10.26,1.001
"2017-05-26 12:30:00",245,1048,10.48,0
"2017-05-26 12:45:00",246,1063,10.63,0
