"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","SystemInternals"
"TIMESTAMP","RECORD","P_RH_Avg","P_Temp_Avg","P_Batt_Min"
"TS","RN","","",""
"","","Avg","Avg","Min"
"2017-05-25 13:12:47",33564,-51.3,15.92,13.9
"2017-05-25 13:12:48",33565,-51.3,15.92,13.9
"2017-05-25 13:12:49",33566,-51.3,15.92,13.9
"2017-05-25 13:12:50",33567,-51.43,15.92,13.9
"2017-05-25 13:12:51",33568,-51.43,15.92,13.9
"2017-05-25 13:12:52",33569,-51.43,15.92,13.9
"2017-05-25 13:12:53",33570,-51.3,15.92,13.89
"2017-05-25 13:12:54",33571,-51.3,15.92,13.9
"2017-05-25 13:12:55",33572,-51.43,15.92,13.9
"2017-05-25 13:12:56",33573,-51.43,15.92,13.9
"2017-05-25 13:12:57",33574,-51.43,15.92,13.89
"2017-05-25 13:12:58",33575,-51.3,15.92,13.89
"2017-05-25 13:12:59",33576,-51.3,15.92,13.9
"2017-05-25 13:13:00",33577,-51.43,15.92,13.9
"2017-05-25 13:13:01",33578,-51.43,15.92,13.9
"2017-05-25 13:13:02",33579,-51.43,15.92,13.9
"2017-05-25 13:13:03",33580,-51.43,15.92,13.89
"2017-05-25 13:13:04",33581,-51.3,15.92,13.89
"2017-05-25 13:13:05",33582,-51.43,15.92,13.89
"2017-05-25 13:13:06",33583,-51.43,15.92,13.9
"2017-05-25 13:13:07",33584,-51.43,15.92,13.89
"2017-05-25 13:13:08",33585,-51.43,15.92,13.9
"2017-05-25 13:13:09",33586,-51.43,15.92,13.88
"2017-05-25 13:13:10",33587,-51.43,15.92,13.9
"2017-05-25 13:13:11",33588,-51.43,15.92,13.88
"2017-05-25 13:13:12",33589,-51.43,15.92,13.89
"2017-05-25 13:13:13",33590,-51.43,15.92,13.89
"2017-05-25 13:13:14",33591,-51.43,15.92,13.9
"2017-05-25 13:13:15",33592,-51.57,15.92,13.89
"2017-05-25 13:13:16",33593,-51.43,15.92,13.89
"2017-05-25 13:13:17",33594,-51.43,15.92,13.89
"2017-05-25 13:13:18",33595,-51.43,15.92,13.89
"2017-05-25 13:13:19",33596,-51.43,15.92,13.88
"2017-05-25 13:13:20",33597,-51.57,15.92,13.9
"2017-05-25 13:13:21",33598,-51.43,15.92,13.88
"2017-05-25 13:13:22",33599,-51.43,15.92,13.89
"2017-05-25 13:13:23",33600,-51.43,15.92,13.88
"2017-05-25 13:13:24",33601,-51.43,15.92,13.88
"2017-05-25 13:13:25",33602,-51.57,15.92,13.88
"2017-05-25 13:13:26",33603,-51.43,15.92,13.9
"2017-05-25 13:13:27",33604,-51.43,15.92,13.9
"2017-05-25 13:13:28",33605,-51.43,15.92,13.9
"2017-05-25 13:13:29",33606,-51.43,15.92,13.89
"2017-05-25 13:13:30",33607,-51.57,15.92,13.88
"2017-05-25 13:13:31",33608,-51.43,15.92,13.88
"2017-05-25 13:13:32",33609,-51.43,15.92,13.88
"2017-05-25 13:13:33",33610,-51.43,15.92,13.88
"2017-05-25 13:13:34",33611,-51.43,15.92,13.88
"2017-05-25 13:13:35",33612,-51.57,15.92,13.88
"2017-05-25 13:13:36",33613,-51.57,15.92,13.88
"2017-05-25 13:13:37",33614,-51.43,15.92,13.88
"2017-05-25 13:13:38",33615,-51.43,15.92,13.88
"2017-05-25 13:13:39",33616,-51.3,15.92,13.89
"2017-05-25 13:13:40",33617,-51.43,15.92,13.88
"2017-05-25 13:13:41",33618,-51.43,15.92,13.88
"2017-05-25 13:13:42",33619,-51.43,15.92,13.88
"2017-05-25 13:13:43",33620,-51.43,15.92,13.88
"2017-05-25 13:13:44",33621,-51.43,15.92,13.88
"2017-05-25 13:13:45",33622,-51.57,15.92,13.89
"2017-05-25 13:13:46",33623,-51.43,15.92,13.88
"2017-05-25 13:13:47",33624,-51.43,15.92,13.88
"2017-05-25 13:13:48",33625,-51.43,15.92,13.88
"2017-05-25 13:13:49",33626,-51.43,15.92,13.88
