"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-23 16:44:31",0,213.8,3.864
"2017-05-23 16:59:31",1,236.4,5.712
"2017-05-23 17:14:31",2,231.4,4.349
"2017-05-23 17:29:31",3,256.7,4.665
"2017-05-23 17:44:31",4,294,4.34
"2017-05-23 17:59:31",5,299.9,3.524
"2017-05-23 18:14:31",6,287.4,2.496
"2017-05-23 18:29:31",7,296.3,2.13
"2017-05-23 18:44:31",8,277.1,0.861
"2017-05-23 18:59:31",9,300.1,1.942
"2017-05-23 19:14:31",10,306.4,1.841
"2017-05-23 19:29:31",11,317.1,2.295
"2017-05-23 19:44:31",12,293.4,2.997
"2017-05-23 19:59:31",13,301,2.046
"2017-05-23 20:14:31",14,301.6,2.402
"2017-05-23 20:29:31",15,276.7,1.029
"2017-05-23 20:44:31",16,244.3,0.631
"2017-05-23 20:59:31",17,232.5,0.902
"2017-05-23 21:14:31",18,231,1.045
"2017-05-23 21:29:31",19,211.8,0.227
"2017-05-23 21:44:31",20,162.1,0.717
"2017-05-23 21:59:31",21,158.1,0.524
"2017-05-23 22:14:31",22,195.9,0.506
"2017-05-23 22:29:31",23,199.8,0.834
"2017-05-23 22:44:31",24,186,1.239
"2017-05-23 22:59:31",25,177.9,1.165
"2017-05-23 23:14:31",26,205,0.403
"2017-05-23 23:29:31",27,297.5,0.351
"2017-05-23 23:44:31",28,275,0.511
"2017-05-23 23:59:31",29,257.5,0.293
"2017-05-24 00:14:31",30,237.2,0.333
"2017-05-24 00:29:31",31,179.5,0.937
"2017-05-24 00:44:31",32,211.7,0.589
"2017-05-24 00:59:31",33,262.5,0.289
"2017-05-24 01:14:31",34,220.6,0.228
"2017-05-24 01:29:31",35,242.6,0.288
"2017-05-24 01:44:31",36,201.9,0.475
"2017-05-24 01:59:31",37,170.2,1.091
"2017-05-24 02:14:31",38,169.4,1.228
"2017-05-24 02:29:31",39,170.3,0.999
"2017-05-24 02:44:31",40,213.1,0.464
"2017-05-24 02:59:31",41,223.8,0.235
"2017-05-24 03:14:31",42,172.1,0.861
"2017-05-24 03:29:31",43,143.1,1.043
"2017-05-24 03:44:31",44,171.2,0.873
"2017-05-24 03:59:31",45,171.9,0.406
"2017-05-24 04:14:31",46,173.8,0.833
"2017-05-24 04:29:31",47,169.7,1.609
"2017-05-24 04:44:31",48,161.3,1.913
"2017-05-24 04:59:31",49,149.4,1.956
"2017-05-24 05:14:31",50,169.4,2.201
"2017-05-24 05:29:31",51,170.7,2.206
