"TOA5","USL_MET_IP","CR1000","81651","CR1000.Std.30.01","CPU:Met1000_line797_rainMET.CR1","7226","WindMax"
"TIMESTAMP","RECORD","W_SpdRaw_Max","W_SpdRaw_TMx"
"TS","RN","",""
"","","Max","TMx"
"2017-05-23 16:44:31",0,6.586,"2017-05-23 16:40:00"
"2017-05-23 16:59:31",1,10.53,"2017-05-23 16:52:55"
"2017-05-23 17:14:31",2,8.33,"2017-05-23 17:03:05"
"2017-05-23 17:29:31",3,7.997,"2017-05-23 17:18:35"
"2017-05-23 17:44:31",4,7.683,"2017-05-23 17:32:45"
"2017-05-23 17:59:31",5,5.312,"2017-05-23 17:48:25"
"2017-05-23 18:14:31",6,4.606,"2017-05-23 18:00:10"
"2017-05-23 18:29:31",7,3.43,"2017-05-23 18:18:35"
"2017-05-23 18:44:31",8,3.254,"2017-05-23 18:42:45"
"2017-05-23 18:59:31",9,3.979,"2017-05-23 18:48:00"
"2017-05-23 19:14:31",10,2.646,"2017-05-23 19:05:50"
"2017-05-23 19:29:31",11,4.351,"2017-05-23 19:28:55"
"2017-05-23 19:44:31",12,5.429,"2017-05-23 19:31:00"
"2017-05-23 19:59:31",13,2.783,"2017-05-23 19:53:50"
"2017-05-23 20:14:31",14,3.979,"2017-05-23 20:03:30"
"2017-05-23 20:29:31",15,2.117,"2017-05-23 20:17:05"
"2017-05-23 20:44:31",16,1.176,"2017-05-23 20:39:25"
"2017-05-23 20:59:31",17,1.254,"2017-05-23 20:52:20"
"2017-05-23 21:14:31",18,1.294,"2017-05-23 21:03:20"
"2017-05-23 21:29:31",19,1.058,"2017-05-23 21:15:30"
"2017-05-23 21:44:31",20,1.176,"2017-05-23 21:36:30"
"2017-05-23 21:59:31",21,0.941,"2017-05-23 21:52:25"
"2017-05-23 22:14:31",22,1.509,"2017-05-23 22:12:15"
"2017-05-23 22:29:31",23,1.45,"2017-05-23 22:15:10"
"2017-05-23 22:44:31",24,1.862,"2017-05-23 22:39:15"
"2017-05-23 22:59:31",25,1.901,"2017-05-23 22:45:25"
"2017-05-23 23:14:31",26,1.156,"2017-05-23 23:03:10"
"2017-05-23 23:29:31",27,1,"2017-05-23 23:28:35"
"2017-05-23 23:44:31",28,0.823,"2017-05-23 23:37:30"
"2017-05-23 23:59:31",29,0.529,"2017-05-23 23:47:45"
"2017-05-24 00:14:31",30,0.608,"2017-05-24 00:01:35"
"2017-05-24 00:29:31",31,1.607,"2017-05-24 00:27:35"
"2017-05-24 00:44:31",32,1.646,"2017-05-24 00:30:10"
"2017-05-24 00:59:31",33,0.549,"2017-05-24 00:46:50"
"2017-05-24 01:14:31",34,0.686,"2017-05-24 01:06:50"
"2017-05-24 01:29:31",35,1.254,"2017-05-24 01:24:15"
"2017-05-24 01:44:31",36,1.627,"2017-05-24 01:36:00"
"2017-05-24 01:59:31",37,1.803,"2017-05-24 01:48:00"
"2017-05-24 02:14:31",38,2.117,"2017-05-24 02:07:55"
"2017-05-24 02:29:31",39,2.097,"2017-05-24 02:26:40"
"2017-05-24 02:44:31",40,1.294,"2017-05-24 02:30:00"
"2017-05-24 02:59:31",41,0.902,"2017-05-24 02:58:50"
"2017-05-24 03:14:31",42,1.627,"2017-05-24 03:09:45"
"2017-05-24 03:29:31",43,1.529,"2017-05-24 03:27:15"
"2017-05-24 03:44:31",44,1.862,"2017-05-24 03:40:25"
"2017-05-24 03:59:31",45,1.196,"2017-05-24 03:45:00"
"2017-05-24 04:14:31",46,1.784,"2017-05-24 04:12:55"
"2017-05-24 04:29:31",47,2.058,"2017-05-24 04:27:00"
"2017-05-24 04:44:31",48,2.548,"2017-05-24 04:38:05"
"2017-05-24 04:59:31",49,2.548,"2017-05-24 04:46:35"
"2017-05-24 05:14:31",50,2.92,"2017-05-24 05:04:40"
"2017-05-24 05:29:31",51,3.234,"2017-05-24 05:27:05"
"2017-05-24 05:44:31",52,2.803,"2017-05-24 05:31:30"
"2017-05-24 05:59:31",53,2.489,"2017-05-24 05:45:15"
"2017-05-24 06:14:31",54,1.784,"2017-05-24 06:12:45"
"2017-05-24 06:29:31",55,1.921,"2017-05-24 06:19:35"
"2017-05-24 06:44:31",56,1.744,"2017-05-24 06:36:10"
"2017-05-24 06:59:31",57,1.45,"2017-05-24 06:57:05"
"2017-05-24 07:14:31",58,1.333,"2017-05-24 07:05:30"
"2017-05-24 07:29:31",59,1.078,"2017-05-24 07:23:05"
"2017-05-24 07:44:31",60,1.137,"2017-05-24 07:44:20"
"2017-05-24 07:59:31",61,1.196,"2017-05-24 07:46:05"
"2017-05-24 08:14:31",62,0.98,"2017-05-24 08:03:20"
"2017-05-24 08:29:31",63,0.666,"2017-05-24 08:15:10"
"2017-05-24 08:44:31",64,0.529,"2017-05-24 08:43:55"
"2017-05-24 08:59:31",65,0.804,"2017-05-24 08:52:15"
"2017-05-24 09:14:31",66,0.49,"2017-05-24 09:00:00"
"2017-05-24 09:29:31",67,0.333,"2017-05-24 09:15:00"
"2017-05-24 09:44:31",68,0.529,"2017-05-24 09:39:05"
"2017-05-24 09:59:31",69,1.176,"2017-05-24 09:56:20"
"2017-05-24 10:14:31",70,0.96,"2017-05-24 10:00:30"
"2017-05-24 10:29:31",71,1.019,"2017-05-24 10:26:30"
"2017-05-24 10:44:31",72,1.078,"2017-05-24 10:44:05"
"2017-05-24 10:59:31",73,2.724,"2017-05-24 10:58:45"
"2017-05-24 11:14:31",74,3.038,"2017-05-24 11:05:15"
"2017-05-24 11:29:31",75,2.724,"2017-05-24 11:21:50"
"2017-05-24 11:44:31",76,2.744,"2017-05-24 11:36:10"
"2017-05-24 11:59:31",77,2.764,"2017-05-24 11:46:55"
"2017-05-24 12:14:31",78,3.116,"2017-05-24 12:08:45"
"2017-05-24 12:29:31",79,2.842,"2017-05-24 12:23:55"
"2017-05-24 12:44:31",80,2.724,"2017-05-24 12:43:50"
"2017-05-24 12:59:31",81,3.41,"2017-05-24 12:58:35"
"2017-05-24 13:14:31",82,1.98,"2017-05-24 13:11:55"
"2017-05-24 13:29:31",83,3.273,"2017-05-24 13:23:05"
"2017-05-24 13:44:31",84,2.646,"2017-05-24 13:31:50"
"2017-05-24 13:59:31",85,1.568,"2017-05-24 13:57:50"
"2017-05-24 14:14:31",86,3.626,"2017-05-24 14:06:20"
"2017-05-24 14:29:31",87,3.626,"2017-05-24 14:23:15"
"2017-05-24 14:44:31",88,2.979,"2017-05-24 14:35:05"
"2017-05-24 14:59:31",89,3.881,"2017-05-24 14:58:35"
"2017-05-24 15:14:31",90,4.332,"2017-05-24 15:14:25"
"2017-05-24 15:29:31",91,4.351,"2017-05-24 15:28:05"
"2017-05-24 15:44:31",92,4.214,"2017-05-24 15:36:10"
"2017-05-24 15:59:31",93,4.528,"2017-05-24 15:51:40"
"2017-05-24 16:14:31",94,5.39,"2017-05-24 16:11:05"
"2017-05-24 16:29:31",95,4.724,"2017-05-24 16:20:35"
"2017-05-24 16:44:31",96,5.096,"2017-05-24 16:34:15"
"2017-05-24 16:59:31",97,5.723,"2017-05-24 16:54:50"
"2017-05-24 17:14:31",98,4.743,"2017-05-24 17:02:50"
"2017-05-24 17:29:31",99,5.586,"2017-05-24 17:19:10"
"2017-05-24 17:44:31",100,4.567,"2017-05-24 17:35:55"
"2017-05-24 17:59:31",101,4.822,"2017-05-24 17:45:40"
"2017-05-24 18:14:31",102,3.881,"2017-05-24 18:13:05"
"2017-05-24 18:29:31",103,4.469,"2017-05-24 18:22:20"
"2017-05-24 18:44:31",104,5.037,"2017-05-24 18:31:25"
"2017-05-24 18:59:31",105,5.135,"2017-05-24 18:58:15"
"2017-05-24 19:14:31",106,4.939,"2017-05-24 19:02:10"
"2017-05-24 19:29:31",107,4.469,"2017-05-24 19:22:45"
"2017-05-24 19:44:31",108,3.254,"2017-05-24 19:31:50"
"2017-05-24 19:59:31",109,2.764,"2017-05-24 19:50:30"
"2017-05-24 20:14:31",110,3.018,"2017-05-24 20:01:50"
"2017-05-24 20:29:31",111,3.704,"2017-05-24 20:16:50"
"2017-05-24 20:44:31",112,1.45,"2017-05-24 20:34:55"
"2017-05-24 20:59:31",113,1.372,"2017-05-24 20:45:00"
"2017-05-24 21:14:31",114,1.98,"2017-05-24 21:00:20"
"2017-05-24 21:29:31",115,2.352,"2017-05-24 21:29:05"
"2017-05-24 21:44:31",116,2.117,"2017-05-24 21:30:00"
"2017-05-24 21:59:31",117,1.078,"2017-05-24 21:50:05"
"2017-05-24 22:14:31",118,0.549,"2017-05-24 22:13:00"
"2017-05-24 22:29:31",119,0.706,"2017-05-24 22:22:20"
"2017-05-24 22:44:31",120,1.607,"2017-05-24 22:39:40"
"2017-05-24 22:59:31",121,1.352,"2017-05-24 22:49:35"
"2017-05-24 23:14:31",122,0.647,"2017-05-24 23:03:45"
"2017-05-24 23:29:31",123,1.254,"2017-05-24 23:26:45"
"2017-05-24 23:44:31",124,1.352,"2017-05-24 23:32:50"
"2017-05-24 23:59:31",125,1.137,"2017-05-24 23:58:15"
"2017-05-25 07:14:31",126,12.31,"2017-05-25 07:13:25"
"2017-05-25 07:44:31",127,12.58,"2017-05-25 07:39:10"
"2017-05-25 07:59:31",128,12.9,"2017-05-25 07:45:45"
"2017-05-25 08:14:31",129,13.5,"2017-05-25 08:13:30"
"2017-05-25 08:29:31",130,14.78,"2017-05-25 08:27:50"
"2017-05-25 08:44:31",131,14.19,"2017-05-25 08:30:45"
"2017-05-25 08:59:31",132,15.27,"2017-05-25 08:50:15"
"2017-05-25 09:14:31",133,12.47,"2017-05-25 09:09:10"
"2017-05-25 09:29:31",134,12.13,"2017-05-25 09:22:50"
"2017-05-25 09:44:31",135,12.76,"2017-05-25 09:36:35"
"2017-05-25 09:59:31",136,13.33,"2017-05-25 09:52:05"
"2017-05-25 10:14:31",137,13.07,"2017-05-25 10:09:30"
"2017-05-25 10:29:31",138,13.33,"2017-05-25 10:19:05"
"2017-05-25 10:44:31",139,13.92,"2017-05-25 10:34:35"
"2017-05-25 10:59:31",140,13.66,"2017-05-25 10:47:20"
"2017-05-25 11:14:31",141,11.15,"2017-05-25 11:01:30"
"2017-05-25 11:29:31",142,13.9,"2017-05-25 11:19:35"
"2017-05-25 11:44:31",143,10.56,"2017-05-25 11:33:05"
"2017-05-25 11:59:31",144,4.606,"2017-05-25 11:53:15"
"2017-05-25 12:14:31",145,4.038,"2017-05-25 12:01:55"
"2017-05-25 12:29:31",146,3.234,"2017-05-25 12:23:25"
"2017-05-25 12:44:31",147,5.743,"2017-05-25 12:30:20"
"2017-05-25 12:59:31",148,5.88,"2017-05-25 12:54:10"
"2017-05-25 13:14:31",149,6.468,"2017-05-25 13:13:15"
"2017-05-25 13:29:31",150,8.45,"2017-05-25 13:16:50"
"2017-05-25 13:44:31",151,8.68,"2017-05-25 13:31:35"
"2017-05-25 13:59:31",152,8.31,"2017-05-25 13:46:40"
"2017-05-25 14:14:31",153,6.017,"2017-05-25 14:01:20"
"2017-05-25 14:29:31",154,5.37,"2017-05-25 14:20:50"
"2017-05-25 14:44:31",155,5.253,"2017-05-25 14:44:30"
"2017-05-25 14:59:31",156,5.743,"2017-05-25 14:58:55"
"2017-05-25 15:14:31",157,6.919,"2017-05-25 15:07:30"
"2017-05-25 15:29:31",158,6.958,"2017-05-25 15:28:55"
"2017-05-25 15:44:31",159,7.174,"2017-05-25 15:36:40"
"2017-05-25 15:59:31",160,6.429,"2017-05-25 15:54:00"
"2017-05-25 16:14:31",161,6.272,"2017-05-25 16:03:45"
"2017-05-25 16:29:31",162,5.331,"2017-05-25 16:20:30"
"2017-05-25 16:44:31",163,6.625,"2017-05-25 16:44:25"
"2017-05-25 16:59:31",164,8.15,"2017-05-25 16:53:45"
"2017-05-25 17:14:31",165,9.15,"2017-05-25 17:12:15"
"2017-05-25 17:29:31",166,10.13,"2017-05-25 17:23:20"
"2017-05-25 17:44:31",167,9,"2017-05-25 17:37:35"
"2017-05-25 17:59:31",168,9.82,"2017-05-25 17:47:15"
"2017-05-25 18:14:31",169,7.017,"2017-05-25 18:03:25"
"2017-05-25 18:29:31",170,6.233,"2017-05-25 18:15:40"
"2017-05-25 18:44:31",171,5.312,"2017-05-25 18:39:10"
